2019.03.21.13.50.02.170, INFO   , Logger filename: BB2019_Log_CALA_Practice10_2019.03.21.13.50.01.532.txt
2019.03.21.13.50.02.182, INFO   , Program date: 1969.12.31.16.00.00.000
2019.03.21.13.50.02.885, INFO   , Lift PIDF set to: 0.6, 0.0, 0.0, 0.5, Idx: 0
2019.03.21.13.50.02.897, INFO   , Lift PIDF set to: 0.9, 0.0, 0.0, 0.5, Idx: 1
2019.03.21.13.50.03.550, INFO   , Hand PIDF set to: 10.0, 0.0, 0.0, 5.0
2019.03.21.13.50.04.312, DEBUG  , DriverCam Get Video Mode: 160, 120, 30
2019.03.21.13.50.04.458, INFO   , BeachbotLib Version:                2019.2.0
2019.03.21.13.50.04.458, INFO   , WPILib Version:                     2019.4.1
2019.03.21.13.50.04.500, INFO   , NavX Firmware Version:              3.1
2019.03.21.13.50.04.511, INFO   , Talon Intake Firmware Version:      4.17
2019.03.21.13.50.04.514, INFO   , Talon Hand Firmware Version:        4.17
2019.03.21.13.50.04.518, INFO   , Talon Lift1 Firmware Version:       4.17
2019.03.21.13.50.04.522, INFO   , Talon Lift2 Firmware Version:       4.17
2019.03.21.13.50.04.526, INFO   , Talon Lift3 Firmware Version:       4.17
2019.03.21.13.50.04.527, DEBUG  , Competition Robot Detected
2019.03.21.13.50.04.592, INFO   , Teleop Init
2019.03.21.13.50.04.593, INFO   , Limelight lights enabled
2019.03.21.13.50.04.597, INFO   , New pipeline: 0.0
2019.03.21.13.50.04.698, INFO   , Target acquired
2019.03.21.13.50.04.839, COMMAND, org.usfirst.frc330.commands.TankDrive initialized
2019.03.21.13.50.04.846, COMMAND, org.usfirst.frc330.commands.ManualLift initialized
2019.03.21.13.50.04.851, COMMAND, org.usfirst.frc330.commands.ManualHand initialized
2019.03.21.13.50.05.031, COMMAND, org.usfirst.frc330.commands.ManualLift interrupted
2019.03.21.13.50.05.033, COMMAND, org.usfirst.frc330.commands.ManualHand interrupted
2019.03.21.13.50.05.073, COMMAND, org.usfirst.frc330.commands.LoadHatch initialized
2019.03.21.13.50.05.085, INFO   , CLosing Claw
2019.03.21.13.50.05.089, INFO   , Turning Roller On: Hatch
2019.03.21.13.50.05.209, INFO   , Turning Roller off
2019.03.21.13.50.05.210, COMMAND, org.usfirst.frc330.commands.LoadHatch interrupted
2019.03.21.13.50.05.246, COMMAND, org.usfirst.frc330.commands.commandgroups.HatchDefense initialized
