2017.02.19.22.48.40.972, INFO   , Logger filename: BB2019_Log__None0_2017.02.19.22.48.40.363.txt
2017.02.19.22.48.40.984, INFO   , Program date: 1969.12.31.16.00.00.000
2017.02.19.22.48.41.846, INFO   , Lift PIDF set to: 0.6, 0.0, 0.0, 0.5, Idx: 0
2017.02.19.22.48.41.858, INFO   , Lift PIDF set to: 0.9, 0.0, 0.0, 0.5, Idx: 1
2017.02.19.22.48.42.921, INFO   , Hand PIDF set to: 10.0, 0.0, 0.0, 5.0
2017.02.19.22.48.44.115, DEBUG  , DriverCam Get Video Mode: 160, 120, 30
2017.02.19.22.48.44.148, INFO   , BeachbotLib Version:                2019.2.0
2017.02.19.22.48.44.151, INFO   , WPILib Version:                     2019.4.1
2017.02.19.22.48.44.230, INFO   , NavX Firmware Version:              3.1
2017.02.19.22.48.44.246, INFO   , Talon Intake Firmware Version:      4.17
2017.02.19.22.48.44.251, INFO   , Talon Hand Firmware Version:        4.17
2017.02.19.22.48.44.259, INFO   , Talon Lift1 Firmware Version:       4.17
2017.02.19.22.48.44.263, INFO   , Talon Lift2 Firmware Version:       4.17
2017.02.19.22.48.44.266, INFO   , Talon Lift3 Firmware Version:       4.17
2017.02.19.22.48.44.266, DEBUG  , Competition Robot Detected
2017.02.19.22.48.44.371, INFO   , Disabled Init
2017.02.19.22.48.44.385, INFO   , Battery Voltage: 12.856347412109374
2017.02.19.22.48.44.389, INFO   , Lift disabled
2017.02.19.22.48.44.394, INFO   , Hand disabled
2017.02.19.22.48.44.396, INFO   , Turning Roller off
2017.02.19.22.48.44.409, INFO   , Turning Claw off
2017.02.19.22.48.44.413, INFO   , Limelight lights disabled
2017.02.19.22.48.44.421, INFO   , New pipeline: -99.0
RoboRIO File Renamed: true BB2019_LogCALA_Practice26__2019.03.21.16.26.04.316.txt
USB File Renamed: true BB2019_Log_CALA_Practice26_2019.03.21.16.26.04.316.txt
RoboRIO File Renamed: true BB2019_LogCALA_Practice26__2019.03.21.16.26.04.315.txt
USB File Renamed: true BB2019_Log_CALA_Practice26_2019.03.21.16.26.04.315.txt
RoboRIO File Renamed: true BB2019_Log_None17__2019.03.21.16.26.04.316.txt
USB File Renamed: true BB2019_Log__None17_2019.03.21.16.26.04.316.txt
RoboRIO File Renamed: true BB2019_LogCALA_Practice26__2019.03.21.16.26.04.316.txt
