2017.02.19.22.48.40.099, INFO   , Logger filename: BB2019_Log__None0_2017.02.19.22.48.40.065.txt
2017.02.19.22.48.40.108, INFO   , Program date: 1969.12.31.16.00.00.000
2017.02.19.22.48.40.715, INFO   , Lift PIDF set to: 0.6, 0.0, 0.0, 0.5, Idx: 0
2017.02.19.22.48.40.725, INFO   , Lift PIDF set to: 0.9, 0.0, 0.0, 0.5, Idx: 1
2017.02.19.22.48.41.759, INFO   , Hand PIDF set to: 10.0, 0.0, 0.0, 5.0
2017.02.19.22.48.42.859, DEBUG  , DriverCam Get Video Mode: 160, 120, 30
2017.02.19.22.48.42.870, INFO   , BeachbotLib Version:                2019.2.0
2017.02.19.22.48.42.872, INFO   , WPILib Version:                     2019.4.1
2017.02.19.22.48.42.913, INFO   , NavX Firmware Version:              3.1
2017.02.19.22.48.42.922, INFO   , Talon Intake Firmware Version:      4.17
2017.02.19.22.48.42.925, INFO   , Talon Hand Firmware Version:        4.17
2017.02.19.22.48.42.928, INFO   , Talon Lift1 Firmware Version:       4.17
2017.02.19.22.48.42.932, INFO   , Talon Lift2 Firmware Version:       4.17
2017.02.19.22.48.42.935, INFO   , Talon Lift3 Firmware Version:       4.17
2017.02.19.22.48.42.936, DEBUG  , Competition Robot Detected
2017.02.19.22.48.43.052, INFO   , Disabled Init
2017.02.19.22.48.43.067, INFO   , Battery Voltage: 12.73698046875
2017.02.19.22.48.43.072, INFO   , Lift disabled
2017.02.19.22.48.43.074, INFO   , Hand disabled
2017.02.19.22.48.43.078, INFO   , Turning Roller off
2017.02.19.22.48.43.090, INFO   , Turning Claw off
2017.02.19.22.48.43.094, INFO   , Limelight lights disabled
2017.02.19.22.48.43.103, INFO   , New pipeline: -99.0
2017.02.19.22.48.43.211, INFO   , Limelight lights disabled
2017.02.19.22.48.43.212, INFO   , New pipeline: -99.0
2017.02.19.22.48.43.391, INFO   , Limelight lights disabled
2017.02.19.22.48.43.392, INFO   , New pipeline: -99.0
2017.02.19.22.48.43.422, INFO   , Limelight lights disabled
2017.02.19.22.48.43.424, INFO   , New pipeline: -99.0
2017.02.19.22.48.43.520, INFO   , Limelight lights disabled
2017.02.19.22.48.43.522, INFO   , New pipeline: -99.0
2017.02.19.22.48.43.584, INFO   , Limelight lights disabled
2017.02.19.22.48.43.587, INFO   , New pipeline: -99.0
2017.02.19.22.48.43.646, INFO   , Limelight lights disabled
2017.02.19.22.48.43.648, INFO   , New pipeline: -99.0
2017.02.19.22.48.43.711, INFO   , Limelight lights disabled
2017.02.19.22.48.43.714, INFO   , New pipeline: -99.0
2017.02.19.22.48.43.768, INFO   , Limelight lights disabled
2017.02.19.22.48.43.771, INFO   , New pipeline: -99.0
2017.02.19.22.48.43.828, INFO   , Limelight lights disabled
2017.02.19.22.48.43.829, INFO   , New pipeline: -99.0
2017.02.19.22.48.43.892, INFO   , Limelight lights disabled
2017.02.19.22.48.43.895, INFO   , New pipeline: -99.0
2017.02.19.22.48.43.953, INFO   , Limelight lights disabled
2017.02.19.22.48.43.955, INFO   , New pipeline: -99.0
2017.02.19.22.48.43.977, INFO   , Limelight lights disabled
2017.02.19.22.48.43.979, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.035, INFO   , Limelight lights disabled
2017.02.19.22.48.44.040, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.139, INFO   , Limelight lights disabled
2017.02.19.22.48.44.144, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.194, INFO   , Limelight lights disabled
2017.02.19.22.48.44.197, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.262, INFO   , Limelight lights disabled
2017.02.19.22.48.44.270, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.327, INFO   , Limelight lights disabled
2017.02.19.22.48.44.329, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.384, INFO   , Limelight lights disabled
2017.02.19.22.48.44.385, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.425, INFO   , Limelight lights disabled
