2017.02.19.22.48.40.980, INFO   , Logger filename: BB2019_Log__None0_2017.02.19.22.48.40.496.txt
2017.02.19.22.48.40.990, INFO   , Program date: 1969.12.31.16.00.00.000
2017.02.19.22.48.41.733, INFO   , Lift PIDF set to: 0.9, 0.0, 15.0, 0.5
2017.02.19.22.48.42.093, INFO   , Hand PIDF set to: 10.0, 0.0, 40.0, 0.0
2017.02.19.22.48.43.299, DEBUG  , DriverCam Get Video Mode: 160, 120, 30
2017.02.19.22.48.43.315, INFO   , BeachbotLib Version:                2019.2.0
2017.02.19.22.48.43.317, INFO   , WPILib Version:                     2019.3.1
2017.02.19.22.48.43.398, INFO   , NavX Firmware Version:              3.1
2017.02.19.22.48.43.420, INFO   , Talon Intake Firmware Version:      4.17
2017.02.19.22.48.43.426, INFO   , Talon Hand Firmware Version:        4.17
2017.02.19.22.48.43.433, INFO   , Talon Lift1 Firmware Version:       4.17
2017.02.19.22.48.43.439, INFO   , Talon Lift2 Firmware Version:       4.17
2017.02.19.22.48.43.446, INFO   , Talon Lift3 Firmware Version:       4.17
2017.02.19.22.48.43.448, DEBUG  , Competition Robot Detected
2017.02.19.22.48.43.567, INFO   , Disabled Init
2017.02.19.22.48.43.582, INFO   , Battery Voltage: 12.780957763671875
2017.02.19.22.48.43.585, INFO   , Lift disabled
2017.02.19.22.48.43.587, INFO   , Hand disabled
2017.02.19.22.48.43.590, INFO   , Turning Roller off
2017.02.19.22.48.43.601, INFO   , Turning off Kicker
2017.02.19.22.48.43.602, INFO   , Turning Claw off
RoboRIO File Renamed: true BB2019_Log_None0__2019.03.02.16.25.18.015.txt
USB File Renamed: true BB2019_Log_CAOC_Elimination19_2019.03.02.16.25.18.015.txt
RoboRIO File Renamed: true BB2019_LogCAOC_Elimination19__2019.03.02.16.25.18.016.txt
USB File Renamed: true BB2019_Log_CAOC_Elimination19_2019.03.02.16.25.18.016.txt
RoboRIO File Renamed: true BB2019_Log_Elimination19__2019.03.02.16.25.18.018.txt
USB File Renamed: true BB2019_Log__Elimination19_2019.03.02.16.25.18.018.txt
RoboRIO File Renamed: true BB2019_LogCAOC_Elimination19__2019.03.02.16.25.18.018.txt
USB File Renamed: true BB2019_Log_CAOC_Elimination19_2019.03.02.16.25.18.018.txt
2019.03.02.16.33.50.390, INFO   , Autonomous Init
2019.03.02.16.33.50.394, INFO   , Running Auto: DoNothing
2019.03.02.16.33.50.549, INFO   , Event: CAOC Match Type: Elimination Match Number: 19
