2019.02.28.16.48.18.217, INFO   , Logger filename: BB2019_Log_CAOC_Practice23_2019.02.28.16.48.17.416.txt
2019.02.28.16.48.18.229, INFO   , Program date: 1969.12.31.16.00.00.000
2019.02.28.16.48.19.276, INFO   , Lift PIDF set to: 0.8, 0.0, 15.0, 0.5
2019.02.28.16.48.19.755, INFO   , Hand PIDF set to: 10.0, 0.0, 40.0, 0.0
2019.02.28.16.48.20.884, DEBUG  , DriverCam Get Video Mode: 160, 120, 30
2019.02.28.16.48.20.920, INFO   , BeachbotLib Version:                2019.2.0
2019.02.28.16.48.20.923, INFO   , WPILib Version:                     2019.3.1
2019.02.28.16.48.21.082, INFO   , NavX Firmware Version:              3.1
2019.02.28.16.48.21.124, INFO   , Talon Intake Firmware Version:      4.17
2019.02.28.16.48.21.140, INFO   , Talon Hand Firmware Version:        4.17
2019.02.28.16.48.21.148, INFO   , Talon Lift1 Firmware Version:       4.17
2019.02.28.16.48.21.163, INFO   , Talon Lift2 Firmware Version:       4.17
2019.02.28.16.48.21.178, INFO   , Talon Lift3 Firmware Version:       4.17
2019.02.28.16.48.21.181, DEBUG  , Competition Robot Detected
2019.02.28.16.48.21.311, INFO   , Disabled Init
2019.02.28.16.48.21.328, INFO   , Battery Voltage: 12.435421875
2019.02.28.16.48.21.330, INFO   , Lift disabled
2019.02.28.16.48.21.342, INFO   , Hand disabled
2019.02.28.16.48.21.343, INFO   , Turning Roller off
2019.02.28.16.48.21.348, INFO   , Turning off Kicker
2019.02.28.16.48.21.350, INFO   , Turning Claw off
2019.02.28.16.49.17.074, INFO   , Autonomous Init
2019.02.28.16.49.17.082, INFO   , Running Auto: DoNothing
2019.02.28.16.49.17.233, INFO   , Event: CAOC Match Type: Practice Match Number: 23
2019.02.28.16.49.17.238, COMMAND, org.usfirst.frc330.commands.TankDrive initialized
2019.02.28.16.49.17.243, COMMAND, org.usfirst.frc330.commands.ManualLift initialized
2019.02.28.16.49.17.246, COMMAND, org.usfirst.frc330.commands.ManualHand initialized
2019.02.28.16.49.17.249, COMMAND, org.usfirst.frc330.commands.ManualLift interrupted
2019.02.28.16.49.17.271, COMMAND, org.usfirst.frc330.autoCommands.DoNothing initialized
2019.02.28.16.49.17.272, COMMAND, org.usfirst.frc330.commands.IsFinishedFalse initialized
2019.02.28.16.49.17.272, COMMAND, org.usfirst.frc330.commands.CalibrateLift initialized
2019.02.28.16.49.17.410, COMMAND, org.usfirst.frc330.commands.CalibrateLift ended
2019.02.28.16.49.17.425, COMMAND, org.usfirst.frc330.commands.ManualLift initialized
2019.02.28.16.49.17.429, WARNING, Lift setpoint request below lower limit: -0.020145007324218752
2019.02.28.16.49.20.372, COMMAND, org.usfirst.frc330.commands.ManualHand interrupted
2019.02.28.16.49.20.392, COMMAND, org.usfirst.frc330.commands.HandOut initialized
2019.02.28.16.49.24.551, COMMAND, org.usfirst.frc330.commands.TankDrive interrupted
2019.02.28.16.49.24.571, COMMAND, org.usfirst.frc330.commands.AutoStear initialized
2019.02.28.16.49.25.191, COMMAND, org.usfirst.frc330.commands.AutoStear interrupted
2019.02.28.16.49.25.213, COMMAND, org.usfirst.frc330.commands.TankDrive initialized
2019.02.28.16.49.25.291, COMMAND, org.usfirst.frc330.commands.TankDrive interrupted
2019.02.28.16.49.25.311, COMMAND, org.usfirst.frc330.commands.AutoStear initialized
2019.02.28.16.49.25.531, COMMAND, org.usfirst.frc330.commands.AutoStear interrupted
2019.02.28.16.49.25.551, COMMAND, org.usfirst.frc330.commands.TankDrive initialized
2019.02.28.16.49.25.651, COMMAND, org.usfirst.frc330.commands.TankDrive interrupted
2019.02.28.16.49.25.673, COMMAND, org.usfirst.frc330.commands.AutoStear initialized
2019.02.28.16.49.25.791, COMMAND, org.usfirst.frc330.commands.AutoStear interrupted
2019.02.28.16.49.25.811, COMMAND, org.usfirst.frc330.commands.TankDrive initialized
