2017.02.19.22.48.40.797, INFO   , Logger filename: BB2019_Log__None0_2017.02.19.22.48.40.407.txt
2017.02.19.22.48.40.810, INFO   , Program date: 1969.12.31.16.00.00.000
2017.02.19.22.48.41.464, INFO   , Lift PIDF set to: 0.8, 0.0, 15.0, 0.5
2017.02.19.22.48.41.880, INFO   , Hand PIDF set to: 10.0, 0.0, 40.0, 0.0
2017.02.19.22.48.42.910, DEBUG  , DriverCam Get Video Mode: 160, 120, 30
2017.02.19.22.48.42.939, INFO   , BeachbotLib Version:                2019.2.0
2017.02.19.22.48.42.943, INFO   , WPILib Version:                     2019.3.1
2017.02.19.22.48.43.061, INFO   , NavX Firmware Version:              3.1
2017.02.19.22.48.43.081, INFO   , Talon Intake Firmware Version:      4.17
2017.02.19.22.48.43.085, INFO   , Talon Hand Firmware Version:        4.17
2017.02.19.22.48.43.088, INFO   , Talon Lift1 Firmware Version:       4.17
2017.02.19.22.48.43.094, INFO   , Talon Lift2 Firmware Version:       4.17
2017.02.19.22.48.43.098, INFO   , Talon Lift3 Firmware Version:       4.17
2017.02.19.22.48.43.099, DEBUG  , Competition Robot Detected
2017.02.19.22.48.43.215, INFO   , Disabled Init
2017.02.19.22.48.43.229, INFO   , Battery Voltage: 12.655308349609374
2017.02.19.22.48.43.233, INFO   , Lift disabled
2017.02.19.22.48.43.236, INFO   , Hand disabled
2017.02.19.22.48.43.238, INFO   , Turning Roller off
2017.02.19.22.48.43.250, INFO   , Turning off Kicker
2017.02.19.22.48.43.253, INFO   , Turning Claw off
RoboRIO File Renamed: true BB2019_LogCAOC_Practice27__2019.02.28.17.35.06.101.txt
USB File Renamed: true BB2019_Log_CAOC_Practice27_2019.02.28.17.35.06.101.txt
RoboRIO File Renamed: true BB2019_Log_None0__2019.02.28.17.35.06.102.txt
USB File Renamed: true BB2019_Log__None0_2019.02.28.17.35.06.102.txt
RoboRIO File Renamed: true BB2019_LogCAOC_Practice27__2019.02.28.17.35.06.102.txt
USB File Renamed: true BB2019_Log_CAOC_Practice27_2019.02.28.17.35.06.102.txt
2019.02.28.17.40.33.928, INFO   , Autonomous Init
2019.02.28.17.40.33.935, INFO   , Running Auto: DoNothing
2019.02.28.17.40.34.106, INFO   , Event: CAOC Match Type: Practice Match Number: 27
2019.02.28.17.40.34.113, COMMAND, org.usfirst.frc330.commands.TankDrive initialized
2019.02.28.17.40.34.118, COMMAND, org.usfirst.frc330.commands.ManualLift initialized
2019.02.28.17.40.34.121, COMMAND, org.usfirst.frc330.commands.ManualHand initialized
2019.02.28.17.40.34.147, COMMAND, org.usfirst.frc330.autoCommands.DoNothing initialized
2019.02.28.17.40.34.148, COMMAND, org.usfirst.frc330.commands.IsFinishedFalse initialized
2019.02.28.17.40.43.206, COMMAND, org.usfirst.frc330.commands.ManualHand interrupted
2019.02.28.17.40.43.225, COMMAND, org.usfirst.frc330.commands.HandOut initialized
2019.02.28.17.40.45.486, COMMAND, org.usfirst.frc330.commands.HandOut interrupted
2019.02.28.17.40.45.504, COMMAND, org.usfirst.frc330.commands.ManualHand initialized
2019.02.28.17.40.48.969, INFO   , Disabled Init
2019.02.28.17.40.48.970, INFO   , Battery Voltage: 11.863717041015624
2019.02.28.17.40.48.971, COMMAND, org.usfirst.frc330.commands.TankDrive ended
2019.02.28.17.40.48.971, COMMAND, org.usfirst.frc330.commands.ManualLift ended
2019.02.28.17.40.48.972, COMMAND, org.usfirst.frc330.commands.IsFinishedFalse interrupted
2019.02.28.17.40.48.972, COMMAND, org.usfirst.frc330.autoCommands.DoNothing ended
2019.02.28.17.40.48.972, COMMAND, org.usfirst.frc330.commands.ManualHand ended
2019.02.28.17.40.48.973, INFO   , Lift disabled
2019.02.28.17.40.48.973, INFO   , Hand disabled
2019.02.28.17.40.48.973, INFO   , Turning Roller off
2019.02.28.17.40.48.974, INFO   , Turning off Kicker
2019.02.28.17.40.48.974, INFO   , Turning Claw off
2019.02.28.17.40.49.527, INFO   , Teleop Init
2019.02.28.17.40.49.529, COMMAND, org.usfirst.frc330.commands.TankDrive initialized
2019.02.28.17.40.49.529, COMMAND, org.usfirst.frc330.commands.ManualLift initialized
2019.02.28.17.40.49.531, COMMAND, org.usfirst.frc330.commands.ManualHand initialized
2019.02.28.17.40.51.704, COMMAND, org.usfirst.frc330.commands.ManualHand interrupted
2019.02.28.17.40.51.724, COMMAND, org.usfirst.frc330.commands.HandOut initialized
2019.02.28.17.40.53.185, COMMAND, org.usfirst.frc330.commands.TankDrive interrupted
2019.02.28.17.40.53.204, COMMAND, org.usfirst.frc330.commands.AutoStear initialized
2019.02.28.17.40.53.205, WARNING, Aiming started with no target!
2019.02.28.17.40.53.645, COMMAND, org.usfirst.frc330.commands.AutoStear interrupted
2019.02.28.17.40.53.665, COMMAND, org.usfirst.frc330.commands.TankDrive initialized
2019.02.28.17.40.58.885, COMMAND, org.usfirst.frc330.commands.commandgroups.EjectBall initialized
2019.02.28.17.40.58.885, COMMAND, org.usfirst.frc330.commands.BallKickExtend initialized
2019.02.28.17.40.58.887, INFO   , Extending Kicker
2019.02.28.17.40.58.888, COMMAND, org.usfirst.frc330.commands.BallKickExtend ended
2019.02.28.17.40.58.888, COMMAND, org.usfirst.frc330.commands.WaitCommand initialized
2019.02.28.17.40.59.005, COMMAND, org.usfirst.frc330.commands.WaitCommand ended
2019.02.28.17.40.59.005, COMMAND, org.usfirst.frc330.commands.OpenClaw initialized
2019.02.28.17.40.59.007, INFO   , Opening Claw
2019.02.28.17.40.59.007, COMMAND, org.usfirst.frc330.commands.OpenClaw ended
2019.02.28.17.40.59.008, COMMAND, org.usfirst.frc330.commands.ReversePickup initialized
2019.02.28.17.40.59.008, INFO   , Reversing Roller
2019.02.28.17.40.59.008, COMMAND, org.usfirst.frc330.commands.ReversePickup ended
2019.02.28.17.40.59.009, COMMAND, org.usfirst.frc330.commands.WaitCommand initialized
2019.02.28.17.41.00.025, COMMAND, org.usfirst.frc330.commands.WaitCommand ended
2019.02.28.17.41.00.025, COMMAND, org.usfirst.frc330.commands.WaitCommand initialized
2019.02.28.17.41.00.205, COMMAND, org.usfirst.frc330.commands.HandOut interrupted
2019.02.28.17.41.00.225, COMMAND, org.usfirst.frc330.commands.ManualHand initialized
2019.02.28.17.41.00.286, INFO   , Turning Roller off
2019.02.28.17.41.00.287, INFO   , Retracting Kicker
2019.02.28.17.41.00.287, COMMAND, org.usfirst.frc330.commands.WaitCommand interrupted
2019.02.28.17.41.00.288, COMMAND, org.usfirst.frc330.commands.commandgroups.EjectBall ended
2019.02.28.17.41.00.288, COMMAND, org.usfirst.frc330.commands.commandgroups.EjectBall interrupted
2019.02.28.17.41.00.288, COMMAND, org.usfirst.frc330.commands.ManualLift interrupted
2019.02.28.17.41.00.288, COMMAND, org.usfirst.frc330.commands.ManualHand interrupted
2019.02.28.17.41.00.305, COMMAND, org.usfirst.frc330.commands.commandgroups.SensoredBallPickup initialized
2019.02.28.17.41.00.305, COMMAND, org.usfirst.frc330.commands.LoopIfWeHaveBall initialized
2019.02.28.17.41.00.341, INFO   , Has Ball: false
2019.02.28.17.41.00.344, INFO   , Sensor: 8.734103661136794
2019.02.28.17.41.00.344, COMMAND, org.usfirst.frc330.commands.LoopIfWeHaveBall ended
2019.02.28.17.41.00.345, COMMAND, org.usfirst.frc330.commands.OpenClaw initialized
2019.02.28.17.41.00.347, INFO   , Opening Claw
2019.02.28.17.41.00.348, COMMAND, org.usfirst.frc330.commands.OpenClaw ended
2019.02.28.17.41.00.348, COMMAND, org.usfirst.frc330.commands.RollerOn initialized
