2017.02.19.22.48.40.755, INFO   , Logger filename: BB2019_Log__None0_2017.02.19.22.48.40.364.txt
2017.02.19.22.48.40.768, INFO   , Program date: 1969.12.31.16.00.00.000
2017.02.19.22.48.41.516, INFO   , Lift PIDF set to: 0.9, 0.0, 15.0, 0.5
2017.02.19.22.48.41.877, INFO   , Hand PIDF set to: 10.0, 0.0, 40.0, 0.0
2017.02.19.22.48.42.973, DEBUG  , DriverCam Get Video Mode: 160, 120, 30
2017.02.19.22.48.42.989, INFO   , BeachbotLib Version:                2019.2.0
2017.02.19.22.48.42.990, INFO   , WPILib Version:                     2019.3.1
2017.02.19.22.48.43.076, INFO   , NavX Firmware Version:              3.1
2017.02.19.22.48.43.112, INFO   , Talon Intake Firmware Version:      4.17
2017.02.19.22.48.43.121, INFO   , Talon Hand Firmware Version:        4.17
2017.02.19.22.48.43.131, INFO   , Talon Lift1 Firmware Version:       4.17
2017.02.19.22.48.43.137, INFO   , Talon Lift2 Firmware Version:       4.17
2017.02.19.22.48.43.145, INFO   , Talon Lift3 Firmware Version:       4.17
2017.02.19.22.48.43.149, DEBUG  , Competition Robot Detected
2017.02.19.22.48.43.221, INFO   , Disabled Init
2017.02.19.22.48.43.229, INFO   , Battery Voltage: 12.843782470703125
2017.02.19.22.48.43.231, INFO   , Lift disabled
2017.02.19.22.48.43.243, INFO   , Hand disabled
2017.02.19.22.48.43.244, INFO   , Turning Roller off
2017.02.19.22.48.43.255, INFO   , Turning off Kicker
2017.02.19.22.48.43.257, INFO   , Turning Claw off
RoboRIO File Renamed: true BB2019_LogCAOC_Qualification45__2019.03.01.16.38.40.695.txt
USB File Renamed: true BB2019_Log_CAOC_Qualification45_2019.03.01.16.38.40.695.txt
RoboRIO File Renamed: true BB2019_LogCAOC_Qualification45__2019.03.01.16.38.40.695.txt
USB File Renamed: true BB2019_Log_CAOC_Qualification45_2019.03.01.16.38.40.695.txt
2019.03.01.16.41.03.601, INFO   , Autonomous Init
2019.03.01.16.41.03.606, INFO   , Running Auto: DoNothing
2019.03.01.16.41.03.760, INFO   , Event: CAOC Match Type: Qualification Match Number: 45
2019.03.01.16.41.03.766, COMMAND, org.usfirst.frc330.commands.TankDrive initialized
2019.03.01.16.41.03.771, COMMAND, org.usfirst.frc330.commands.ManualLift initialized
2019.03.01.16.41.03.773, COMMAND, org.usfirst.frc330.commands.ManualHand initialized
2019.03.01.16.41.03.778, WARNING, Lift setpoint request above upper limit: 61.77890625
2019.03.01.16.41.03.808, COMMAND, org.usfirst.frc330.autoCommands.DoNothing initialized
2019.03.01.16.41.03.809, COMMAND, org.usfirst.frc330.commands.IsFinishedFalse initialized
2019.03.01.16.41.06.551, INFO   , Target acquired
2019.03.01.16.41.06.678, COMMAND, org.usfirst.frc330.commands.ManualHand interrupted
2019.03.01.16.41.06.697, COMMAND, org.usfirst.frc330.commands.HandOut initialized
2019.03.01.16.41.08.039, COMMAND, org.usfirst.frc330.commands.TankDrive interrupted
2019.03.01.16.41.08.058, COMMAND, org.usfirst.frc330.commands.AutoStear initialized
2019.03.01.16.41.08.064, INFO   , Aiming started with target at: 8.048263549804688
2019.03.01.16.41.08.065, INFO   , Robot in high gear
2019.03.01.16.41.08.782, INFO   , Aiming ended with target at: 11.481437683105469
2019.03.01.16.41.08.783, COMMAND, org.usfirst.frc330.commands.AutoStear interrupted
2019.03.01.16.41.08.798, COMMAND, org.usfirst.frc330.commands.TankDrive initialized
2019.03.01.16.41.08.980, COMMAND, org.usfirst.frc330.commands.TankDrive interrupted
2019.03.01.16.41.08.997, COMMAND, org.usfirst.frc330.commands.AutoStear initialized
2019.03.01.16.41.08.998, INFO   , Aiming started with target at: 12.852256774902344
2019.03.01.16.41.08.998, INFO   , Robot in high gear
2019.03.01.16.41.09.378, INFO   , Aiming ended with target at: 14.303848266601562
2019.03.01.16.41.09.378, COMMAND, org.usfirst.frc330.commands.AutoStear interrupted
2019.03.01.16.41.09.397, COMMAND, org.usfirst.frc330.commands.TankDrive initialized
2019.03.01.16.41.13.018, COMMAND, org.usfirst.frc330.commands.commandgroups.EjectBall initialized
2019.03.01.16.41.13.018, COMMAND, org.usfirst.frc330.commands.BallKickExtend initialized
2019.03.01.16.41.13.020, INFO   , Extending Kicker
2019.03.01.16.41.13.021, COMMAND, org.usfirst.frc330.commands.BallKickExtend ended
2019.03.01.16.41.13.021, COMMAND, org.usfirst.frc330.commands.OpenClaw initialized
2019.03.01.16.41.13.023, INFO   , Opening Claw
2019.03.01.16.41.13.024, COMMAND, org.usfirst.frc330.commands.OpenClaw ended
