2017.02.19.22.48.40.763, INFO   , Logger filename: BB2019_Log__None0_2017.02.19.22.48.40.361.txt
2017.02.19.22.48.40.775, INFO   , Program date: 1969.12.31.16.00.00.000
2017.02.19.22.48.41.595, INFO   , Lift PIDF set to: 0.9, 0.0, 15.0, 0.5
2017.02.19.22.48.41.948, INFO   , Hand PIDF set to: 10.0, 0.0, 40.0, 0.0
2017.02.19.22.48.43.055, DEBUG  , DriverCam Get Video Mode: 160, 120, 30
2017.02.19.22.48.43.075, INFO   , BeachbotLib Version:                2019.2.0
2017.02.19.22.48.43.076, INFO   , WPILib Version:                     2019.3.1
2017.02.19.22.48.43.236, INFO   , NavX Firmware Version:              3.1
2017.02.19.22.48.43.256, INFO   , Talon Intake Firmware Version:      4.17
2017.02.19.22.48.43.261, INFO   , Talon Hand Firmware Version:        4.17
2017.02.19.22.48.43.264, INFO   , Talon Lift1 Firmware Version:       4.17
2017.02.19.22.48.43.267, INFO   , Talon Lift2 Firmware Version:       4.17
2017.02.19.22.48.43.271, INFO   , Talon Lift3 Firmware Version:       4.17
2017.02.19.22.48.43.272, DEBUG  , Competition Robot Detected
2017.02.19.22.48.43.391, INFO   , Disabled Init
2017.02.19.22.48.43.408, INFO   , Battery Voltage: 12.693003173828124
2017.02.19.22.48.43.414, INFO   , Lift disabled
2017.02.19.22.48.43.417, INFO   , Hand disabled
2017.02.19.22.48.43.421, INFO   , Turning Roller off
2017.02.19.22.48.43.433, INFO   , Turning off Kicker
2017.02.19.22.48.43.435, INFO   , Turning Claw off
RoboRIO File Renamed: true BB2019_Log_None4__2019.03.02.09.12.37.728.txt
USB File Renamed: true BB2019_Log__None4_2019.03.02.09.12.37.728.txt
RoboRIO File Renamed: true BB2019_Log_None0__2019.03.02.09.12.37.728.txt
USB File Renamed: true BB2019_Log__None0_2019.03.02.09.12.37.728.txt
2019.03.02.09.13.38.840, INFO   , Teleop Init
2019.03.02.09.13.38.842, COMMAND, org.usfirst.frc330.commands.TankDrive initialized
2019.03.02.09.13.38.847, COMMAND, org.usfirst.frc330.commands.ManualLift initialized
2019.03.02.09.13.38.848, COMMAND, org.usfirst.frc330.commands.ManualHand initialized
