2019.04.09.19.36.41.623, INFO   , Logger filename: BB2019_Log__None0_2019.04.09.19.36.41.454.txt
2019.04.09.19.36.41.632, INFO   , Program date: 1969.12.31.16.00.00.000
2019.04.09.19.36.42.316, INFO   , Lift PIDF set to: 0.6, 0.0, 0.0, 0.5, Idx: 0
2019.04.09.19.36.42.330, INFO   , Lift PIDF set to: 0.9, 0.0, 0.0, 0.5, Idx: 1
2019.04.09.19.36.43.017, INFO   , Hand PIDF set to: 10.0, 0.0, 0.0, 5.0
2019.04.09.19.36.43.790, DEBUG  , DriverCam Get Video Mode: 160, 120, 30
2019.04.09.19.36.43.804, INFO   , BeachbotLib Version:                2019.2.0
2019.04.09.19.36.43.805, INFO   , WPILib Version:                     2019.4.1
2019.04.09.19.36.43.859, INFO   , NavX Firmware Version:              3.1
2019.04.09.19.36.43.870, INFO   , Talon Intake Firmware Version:      4.22
2019.04.09.19.36.43.876, INFO   , Talon Hand Firmware Version:        4.22
2019.04.09.19.36.43.879, INFO   , Talon Lift1 Firmware Version:       4.22
2019.04.09.19.36.43.883, INFO   , Talon Lift2 Firmware Version:       4.22
2019.04.09.19.36.43.886, INFO   , Talon Lift3 Firmware Version:       4.22
2019.04.09.19.36.43.887, DEBUG  , Practice Robot Detected
2019.04.09.19.36.43.945, INFO   , Disabled Init
2019.04.09.19.36.43.951, INFO   , Battery Voltage: 12.7118505859375
2019.04.09.19.36.43.957, INFO   , Lift disabled
2019.04.09.19.36.43.959, INFO   , Hand disabled
2019.04.09.19.36.43.961, INFO   , Turning Roller off
2019.04.09.19.36.43.970, INFO   , Turning Claw off
2019.04.09.19.36.43.980, INFO   , Limelight lights disabled
2019.04.09.19.36.43.983, INFO   , New pipeline: 1.0
2019.04.09.19.37.25.099, INFO   , Autonomous Init
2019.04.09.19.37.25.100, INFO   , Limelight lights enabled
2019.04.09.19.37.25.104, INFO   , New pipeline: 1.0
2019.04.09.19.37.25.108, INFO   , Running Auto: FrontBackRocket
2019.04.09.19.37.25.271, INFO   , Event:  Match Type: None Match Number: 0
2019.04.09.19.37.25.277, COMMAND, org.usfirst.frc330.commands.TankDrive initialized
2019.04.09.19.37.25.284, COMMAND, org.usfirst.frc330.commands.ManualLift initialized
2019.04.09.19.37.25.285, COMMAND, org.usfirst.frc330.commands.ManualHand initialized
2019.04.09.19.37.25.288, COMMAND, org.usfirst.frc330.commands.TankDrive interrupted
2019.04.09.19.37.25.288, COMMAND, org.usfirst.frc330.commands.ManualLift interrupted
2019.04.09.19.37.25.289, COMMAND, org.usfirst.frc330.commands.ManualHand interrupted
2019.04.09.19.37.25.301, INFO   , Target acquired
2019.04.09.19.37.25.319, COMMAND, org.usfirst.frc330.autoCommands.FrontBackRocket initialized
2019.04.09.19.37.25.320, COMMAND, org.usfirst.frc330.commands.ShiftLow initialized
2019.04.09.19.37.25.322, COMMAND, org.usfirst.frc330.commands.ShiftLow ended
2019.04.09.19.37.25.323, COMMAND, org.usfirst.frc330.commands.drivecommands.DriveDistanceAtCurAngle initialized
2019.04.09.19.37.25.325, INFO   , Changing LeftDrive Gains to DriveLow. P=0.1 MaxOutput=0.5 MaxOutputStep=0.04
2019.04.09.19.37.25.325, INFO   , Changing RightDrive Gains to DriveLow. P=0.1 MaxOutput=0.5 MaxOutputStep=0.04
2019.04.09.19.37.25.329, INFO   , Changing Gyro Gains to GyroDriveLow. P=0.01 MaxOutput=1.0 MaxOutputStep=1.0
2019.04.09.19.37.25.341, COMMAND, org.usfirst.frc330.commands.commandgroups.HatchDefense initialized
2019.04.09.19.37.25.341, COMMAND, org.usfirst.frc330.commands.SetHandAngle initialized
2019.04.09.19.37.25.373, INFO   , Setting hand angle to: 57.0
